Pantun_ID,Line_1,Line_2,Line_3,Line_4
Pantun_9476,"Burung dara, burung nuri,",Bernyanyi bersama di tepi muara;,"Tak kira berapa yg diberi,",Biar keikhlasan hati berbicara.
Pantun_9477,"Tangan memberi dengan ikhlas,",Tangan menerima dengan syukur;,"Senyum ku beri dia membalas,",Jalan kedepan aku tersungkur.
Pantun_9478,"Tersandung kaki tersilap langkah,",Lutut berdarah sakit nya di hati;,"Sucikan hati dengan bersedekah,",Agar hidup sentiasa di berkati.
Pantun_9479,"Pokok turi tinggi segalah,",Di hujung taman teguh berdiri;,"Ikhlas memberi kerana ALLAH,",Subur iman bertambah rezeki.
Pantun_9480,"Majlis meriah ramai kenalan,",Antara disaji pulut berinti;,"Sedekah jariah bukan tontonan,",Biarlah menjadi rahsia di hati.
Pantun_9481,"Anak bulan nampak sudah,",Bulan indah bersinar cahayanya;,"Di bulan mulia kita bersedekah,",Semoga Allah memberi ganjaran-Nya.
Pantun_9482,"Memancing ikan di petang hari,",Bersama Tok Ki di Tasik Merah;,"Penerima doakan pada pemberi,",Semoga rezeki bertambah murah.
Pantun_9483,"Jalan sendirian ditepi hutan,",Sampai dihulu memetik berangan;,"Tiap pemberian penuh keberkatan,",Tak perlu pujian dan sanjungan.
Pantun_9484,"Cantik rumah indah dihias,",Dari jauh nampak menyerlah;,"Tangan memberi penuh ikhlas,",Dipandang mulia disisi Allah.
Pantun_9485,"Pergi sekolah naik teksi,",Teksi lama pak cik Hamdan;,"Rezeki allah dikongsi-kongsi,","Sedekah, derma di bulan Ramadan."
Pantun_9486,"Mati seekor burung terkukur,",Kerana tercedera di kaki;,"Yang menerima mesti bersyukur,",Yang memberi ikhlas dari hati.
Pantun_9487,"Sungguh indah alunan irama,",Dialunkan orang dari Mukah;,"Manis sungguh senyuman Anisma,",Senyuman juga satu sedekah.
Pantun_9488,"Anak dara duduk di titi,",Mengenang kekasih yang kini jauh;,"Memberi menerima seikhlas hati,",Silaturrahim terikat teguh.
Pantun_9489,"Rasa gembira tidak terperi,",Menerima kain buat basahan;,"Iklaskan jiwa bila memberi,",Hormat menghormati sesama insan.
Pantun_9490,"Turun sampan naik feri,",Berpeti - peti membawa beras;,"Tangan kanan bila memberi,",Didalam hati mesti lah ikhlas.
Pantun_9491,"Kambing berbiri jauh tersisih,",Kaki dihulur sehinga sahur;,"Tangan memberi mengucap terima kasih,",Tangan menghulur biarlah luhur.
Pantun_9492,"Galah dihulur kait delima,",Karung digalas bawa ke laman;,"Sedekah dihulur syukur terima,",Petanda ikhlas insan budiman.
Pantun_9493,"Dosa pahala di hujung jari,",Berita diterima tanpa disukat;,"Amalkan sedekah setiap hari,",Biar sedikit tetapi berkat.
Pantun_9494,"Masak tumis sambal berlada,",Untuk hidangan masa berbuka;,"Sentiasa bersyukur dengan yang ada,",Hati tenang tiada prasangka.
Pantun_9495,"Terpecah lampu terkena batu,",Ketika ke kanan laju mendesah;,"Orang yang mampu sila bantu,",Ringankan bebanan orang susah.
Pantun_9496,"Halau biri biri ke tepi bukit,",Timun ditanam di tanah liat;,"Walau diberi hanya sedikit,",Namun dikenang ke akhir hayat.
Pantun_9497,"Ikan tenggiri ikan gelama,",Dibuat masam enak tak terkira;,"Yang memberi dan menerima,",Biar ikhlas tak banyak bersuara.
Pantun_9498,"Hasta ukuran luasnya tebing,",Titi runtuh patah tiangnya;,"Harta bagaikan kala jengking,",Pasti terbunuh kerana bisanya.
Pantun_9499,"Cermat serama bila berlari,",Merbah di bukit menghalang pula;,"Nikmat bersama kita syukuri,",Usah dungkit hilang pahala.
Pantun_9500,"Pemimpin berkuasa pasti berbangga,",Rakyat diziarah bertemu berjumpa;,"Lumrah berpuasa lapar dahaga,",Zakat fitrah jangan terlupa.
Pantun_9501,"Tempua terbang jauh, bertaburan,",Hinggap berteduh penat didahan;,"Bukan harta jadi ukuran,",Iman dan taqwa jadi suruhan.
Pantun_9502,"Bumi Mekah disinari bulan,",Sang mentari menyinari Kaabah;,"Hidup bersedekah jadikan amalan,",Menginsafi diri pahala ditambah.
Pantun_9503,"Pagi hari pergi ke sawah,",Luas terbentang ciptaan tuhan;,"Sedekah itu amal jariah,",Memberinya ikhlas tanpa paksaan.
Pantun_9504,"Pak uda mengait buah kelapa,",Hendak disangai membuat kerisik;,"Sedikit menghulur besar pahala,",Ganjaran akhirat tiada berlapik.
Pantun_9505,"Tepi kelas tanam halia,",Buah ceri dalam almari;,"Sifat ikhlas amalan mulia,",Kanan memberi sorokkan yang kiri.
Pantun_9506,"Cantik berseri songket lama,",Tenunan ditekat benang sekerat;,"Budaya memberi adat menerima,",Kunci masyarakat bertambah erat.
Pantun_9507,"Di dahan sekah hinggap merpati,",Terlihat lelah jauh terbangnya;,"Bila sedekah ikhlas di hati,",Ganjaran Allah besar nilainya.
Pantun_9508,"Duduk berangan seorang diri,",Duduk sendiri dalam perahu;,"Kalau tangan kanan memberi,",Tangan kiri janganlah tahu.
Pantun_9509,"Selepas guna kuali digantung,",Baru lepas masak penganan;,"Perbuatan baik tetap dihitung,",Hanya membuang duri dijalanan.
Pantun_9510,"Nangka seulas dibuat pengat,",Harum bau nya bila dihidang;,"Walau setitik ikhlas keringat,",Berbakti jua tetap dikenang.
Pantun_9511,"Manis berseri nangka seulas,",Dimakan sama si burung terkukur;,"Puasa semua jangan malas,",Setahun sekali kita bersyukur.
Pantun_9512,"Mendengar irama lagu cinta,",Rasa merana ditanggung badan;,"Memberi menerima budaya kita,",Lebih bermakna di bulan Ramadhan.
Pantun_9513,"Cantik kenari sudahlah tentu,",Menambah seri taman lindungan;,"Ikhlas memberi juga membantu,",Berdiam diri sembunyi tangan.
Pantun_9514,"Daun palas daun cekur,",Bawa ke daik jalan sepadan;,"Beri ikhlas terima bersyukur,",Amalan terbaik bulan Ramadhan.
Pantun_9515,"Pergi kebaruh naik perahu,",Kembang harum bunga melati;,"Kanan memberi kiri tak tahu,",Itu sifat mukmin sejati.
Pantun_9516,"Rendang ayam ketupat palas,",Enak dimakan dara pingitan;,"Kalau memberi haruslah ikhlas,",Takut nanti jadi umpatan.
Pantun_9517,"Sungguh cantik sirama rama,",Cantik lagi emas suasa;,"Ikhlas memberi ikhlas menerima,",Rezeki yang ada sama dirasa.
Pantun_9518,"Bersinar mentari terasa malas,",Penat ditahan duduk di batu;,"Kalau memberi biarlah ikhlas,",Kepada Tuhan memohon restu.
Pantun_9519,"Di tepi jalan pisang setandan,",Disisir lima simpan di peti;,"Ganda amalan bulan Ramadan,",Bersedekah derma seikhlas hati.
Pantun_9520,"Menjahit atap daun rumbia,",Terpancar cahaya di celah dinding:,"Jangan mengharap reda manusia,",Mencari keredaaNYA itu yang penting.
Pantun_9521,"Batuan karang laluan lebah,",Terbang melata iring rerama;,"Tiada kurang malah bertambah,",Rezeki kita kongsi bersama.
Pantun_9522,"Sejadah dibentang siap beralas,",Terus mengaji jangan malas;,"Sudah memberi dengan ikhlas,",Biar Allah saja yang membalas.
